userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced
JIDAPOWER JIDA,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever,2.1.20.11202,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever,"[('malas', 'nak'), ('nak', 'cakap'), ('cakap', 'lagi'), ('lagi', 'dh'), ('dh', 'enemy'), ('enemy', 'dh'), ('dh', 'la'), ('la', 'pro'), ('pro', 'tim'), ('tim', 'dh'), ('dh', 'la'), ('la', 'noob'), ('noob', 'lagi'), ('lagi', 'paling'), ('paling', 'malas'), ('malas', 'lagi'), ('lagi', 'tim'), ('tim', 'yang'), ('yang', 'rank'), ('rank', 'rendah'), ('rendah', 'nyasar'), ('nyasar', 'ke'), ('ke', 'tim'), ('tim', 'sendiri'), ('sendiri', 'sedangkan'), ('sedangkan', 'enmy'), ('enmy', 'sampai'), ('sampai', 'bekas'), ('bekas', 'immortal'), ('immortal', 'dh'), ('dh', 'cam'), ('cam', 'sial'), ('sial', 'la'), ('la', 'update'), ('update', 'sekarang👎👎👎good'), ('sekarang👎👎👎good', 'bye'), ('bye', 'forever')]","[('malas', 'nak'), ('nak', 'cakap'), ('cakap', 'lagi'), ('lagi', 'dh'), ('dh', 'enemy'), ('enemy', 'dh'), ('dh', 'la'), ('la', 'pro'), ('pro', 'tim'), ('tim', 'dh'), ('dh', 'la'), ('la', 'noob'), ('noob', 'lagi'), ('lagi', 'paling'), ('paling', 'malas'), ('malas', 'lagi'), ('lagi', 'tim'), ('tim', 'yang'), ('yang', 'rank'), ('rank', 'rendah'), ('rendah', 'nyasar'), ('nyasar', 'ke'), ('ke', 'tim'), ('tim', 'sendiri'), ('sendiri', 'sedangkan'), ('sedangkan', 'enmy'), ('enmy', 'sampai'), ('sampai', 'bekas'), ('bekas', 'immortal'), ('immortal', 'dh'), ('dh', 'cam'), ('cam', 'sial'), ('sial', 'la'), ('la', 'update'), ('update', 'sekaranggood'), ('sekaranggood', 'bye'), ('bye', 'forever')]","[('malas', 'nak'), ('nak', 'cakap'), ('cakap', 'lagi'), ('lagi', 'dh'), ('dh', 'enemy'), ('enemy', 'dh'), ('dh', 'la'), ('la', 'pro'), ('pro', 'tim'), ('tim', 'dh'), ('dh', 'la'), ('la', 'noob'), ('noob', 'lagi'), ('lagi', 'paling'), ('paling', 'malas'), ('malas', 'lagi'), ('lagi', 'tim'), ('tim', 'yang'), ('yang', 'rank'), ('rank', 'rendah'), ('rendah', 'nyasar'), ('nyasar', 'ke'), ('ke', 'tim'), ('tim', 'sendiri'), ('sendiri', 'sedang'), ('sedang', 'enmy'), ('enmy', 'sampai'), ('sampai', 'bekas'), ('bekas', 'immortal'), ('immortal', 'dh'), ('dh', 'cam'), ('cam', 'sial'), ('sial', 'la'), ('la', 'update'), ('update', 'sekaranggood'), ('sekaranggood', 'bye'), ('bye', 'forever')]","[('malas', 'nak'), ('nak', 'cakap'), ('cakap', 'lagi'), ('lagi', 'dh'), ('dh', 'enemy'), ('enemy', 'dh'), ('dh', 'la'), ('la', 'pro'), ('pro', 'tim'), ('tim', 'dh'), ('dh', 'la'), ('la', 'noob'), ('noob', 'lagi'), ('lagi', 'paling'), ('paling', 'malas'), ('malas', 'lagi'), ('lagi', 'tim'), ('tim', 'yang'), ('yang', 'rank'), ('rank', 'rendah'), ('rendah', 'nyasar'), ('nyasar', 'ke'), ('ke', 'tim'), ('tim', 'sendiri'), ('sendiri', 'sedang'), ('sedang', 'enmy'), ('enmy', 'sampai'), ('sampai', 'bekas'), ('bekas', 'immortal'), ('immortal', 'dh'), ('dh', 'cam'), ('cam', 'sial'), ('sial', 'la'), ('la', 'update'), ('update', 'sekaranggood'), ('sekaranggood', 'bye'), ('bye', 'forever')]","[('malas', 'nak'), ('nak', 'cakap'), ('cakap', 'lagi'), ('lagi', 'dh'), ('dh', 'enemy'), ('enemy', 'dh'), ('dh', 'la'), ('la', 'pro'), ('pro', 'tim'), ('tim', 'dh'), ('dh', 'la'), ('la', 'noob'), ('noob', 'lagi'), ('lagi', 'paling'), ('paling', 'malas'), ('malas', 'lagi'), ('lagi', 'tim'), ('tim', 'yang'), ('yang', 'rank'), ('rank', 'rendah'), ('rendah', 'nyasar'), ('nyasar', 'ke'), ('ke', 'tim'), ('tim', 'sendiri'), ('sendiri', 'sedang'), ('sedang', 'enmy'), ('enmy', 'sampai'), ('sampai', 'bekas'), ('bekas', 'immortal'), ('immortal', 'dh'), ('dh', 'cam'), ('cam', 'sial'), ('sial', 'la'), ('la', 'update'), ('update', 'sekaranggood'), ('sekaranggood', 'bye'), ('bye', 'forever')]"
muhammad hkim,pamaniyasarusakali,,pamaniyasarusakali,[],[],[],[],[]
Galih Najid,game ytim,2.1.18.11201,game ytim,"[('game', 'ytim')]","[('game', 'ytim')]","[('game', 'ytim')]","[('game', 'ytim')]","[('game', 'ytim')]"
Muhammad Nibras,bagus saya suka tapi berikan saya ws lebih banyak lagi,2.1.18.11201,bagus saya suka tapi berikan saya ws lebih banyak lagi,"[('bagus', 'saya'), ('saya', 'suka'), ('suka', 'tapi'), ('tapi', 'berikan'), ('berikan', 'saya'), ('saya', 'ws'), ('ws', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lagi')]","[('bagus', 'saya'), ('saya', 'suka'), ('suka', 'tapi'), ('tapi', 'berikan'), ('berikan', 'saya'), ('saya', 'ws'), ('ws', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lagi')]","[('bagus', 'saya'), ('saya', 'suka'), ('suka', 'tapi'), ('tapi', 'ikan'), ('ikan', 'saya'), ('saya', 'ws'), ('ws', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lagi')]","[('bagus', 'saya'), ('saya', 'suka'), ('suka', 'tapi'), ('tapi', 'ikan'), ('ikan', 'saya'), ('saya', 'ws'), ('ws', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lagi')]","[('bagus', 'saya'), ('saya', 'suka'), ('suka', 'tapi'), ('tapi', 'ikan'), ('ikan', 'saya'), ('saya', 'ws'), ('ws', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lagi')]"
Ken Chuu,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.,,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.,"[('udah', 'semenjak'), ('semenjak', 'ganti'), ('ganti', 'season'), ('season', 'baru'), ('baru', 'ini'), ('ini', '.'), ('.', 'makin'), ('makin', 'ngaco'), ('ngaco', '.dari'), ('.dari', 'matching'), ('matching', 'player'), ('player', '.jaringan'), ('.jaringan', 'bug'), ('bug', 'dan'), ('dan', 'ngeleg'), ('ngeleg', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus', '.'), ('.', 'player'), ('player', 'yang'), ('yang', 'entah'), ('entah', 'pake'), ('pake', 'cheat'), ('cheat', 'atau'), ('atau', 'ga'), ('ga', 'yang'), ('yang', 'menyebabkan'), ('menyebabkan', 'lag'), ('lag', '.'), ('.', 'makin'), ('makin', 'ga'), ('ga', 'jelas'), ('jelas', 'pokoknya'), ('pokoknya', '.')]","[('udah', 'semenjak'), ('semenjak', 'ganti'), ('ganti', 'season'), ('season', 'baru'), ('baru', 'ini'), ('ini',), ('makin',), ('makin', 'ngaco'), ('ngaco', 'dari'), ('dari', 'matching'), ('matching', 'player'), ('player', 'jaringan'), ('jaringan', 'bug'), ('bug', 'dan'), ('dan', 'ngeleg'), ('ngeleg', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus',), ('player',), ('player', 'yang'), ('yang', 'entah'), ('entah', 'pake'), ('pake', 'cheat'), ('cheat', 'atau'), ('atau', 'ga'), ('ga', 'yang'), ('yang', 'menyebabkan'), ('menyebabkan', 'lag'), ('lag',), ('makin',), ('makin', 'ga'), ('ga', 'jelas'), ('jelas', 'pokoknya'), ('pokoknya',)]","[('udah', 'semenjak'), ('semenjak', 'ganti'), ('ganti', 'season'), ('season', 'baru'), ('baru', 'ini'), ('ini',), ('makin',), ('makin', 'ngaco'), ('ngaco', 'dari'), ('dari', 'matching'), ('matching', 'player'), ('player', 'jaring'), ('jaring', 'bug'), ('bug', 'dan'), ('dan', 'ngeleg'), ('ngeleg', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus',), ('player',), ('player', 'yang'), ('yang', 'entah'), ('entah', 'pake'), ('pake', 'cheat'), ('cheat', 'atau'), ('atau', 'ga'), ('ga', 'yang'), ('yang', 'sebab'), ('sebab', 'lag'), ('lag',), ('makin',), ('makin', 'ga'), ('ga', 'jelas'), ('jelas', 'pokok'), ('pokok',)]","[('udah', 'semenjak'), ('semenjak', 'ganti'), ('ganti', 'season'), ('season', 'baru'), ('baru', 'ini'), ('ini',), ('makin',), ('makin', 'ngaco'), ('ngaco', 'dari'), ('dari', 'matching'), ('matching', 'player'), ('player', 'jaring'), ('jaring', 'bug'), ('bug', 'dan'), ('dan', 'ngeleg'), ('ngeleg', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus',), ('player',), ('player', 'yang'), ('yang', 'entah'), ('entah', 'pake'), ('pake', 'cheat'), ('cheat', 'atau'), ('atau', 'ga'), ('ga', 'yang'), ('yang', 'sebab'), ('sebab', 'lag'), ('lag',), ('makin',), ('makin', 'ga'), ('ga', 'jelas'), ('jelas', 'pokok'), ('pokok',)]","[('udah', 'semenjak'), ('semenjak', 'ganti'), ('ganti', 'season'), ('season', 'baru'), ('baru', 'ini'), ('ini',), ('makin',), ('makin', 'ngaco'), ('ngaco', 'dari'), ('dari', 'matching'), ('matching', 'player'), ('player', 'jaring'), ('jaring', 'bug'), ('bug', 'dan'), ('dan', 'ngeleg'), ('ngeleg', 'padahal'), ('padahal', 'sinyal'), ('sinyal', 'bagus'), ('bagus',), ('player',), ('player', 'yang'), ('yang', 'entah'), ('entah', 'pake'), ('pake', 'cheat'), ('cheat', 'atau'), ('atau', 'ga'), ('ga', 'yang'), ('yang', 'sebab'), ('sebab', 'lag'), ('lag',), ('makin',), ('makin', 'ga'), ('ga', 'jelas'), ('jelas', 'pokok'), ('pokok',)]"
IND khadafi,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ HOK,2.1.18.11201,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ hok,"[('game', 'nya'), ('nya', 'udah'), ('udah', 'bagus'), ('bagus', 'tapi'), ('tapi', '.'), ('.', 'tolong'), ('tolong', 'perbaikilah'), ('perbaikilah', 'muntun'), ('muntun', 'masak'), ('masak', 'main'), ('main', 'renk'), ('renk', 'tim'), ('tim', 'kayak'), ('kayak', 'computer'), ('computer', 'musuh'), ('musuh', 'serasa'), ('serasa', 'penjoki'), ('penjoki', 'beri'), ('beri', 'lawan'), ('lawan', 'dan'), ('dan', 'tim'), ('tim', 'yg'), ('yg', 'sepadan'), ('sepadan', 'lah'), ('lah', 'kalok'), ('kalok', 'gak'), ('gak', 'di'), ('di', 'perbaiki'), ('perbaiki', 'ku'), ('ku', 'pindah'), ('pindah', 'game'), ('game', 'sebelah/'), ('sebelah/', 'hok')]","[('game', 'nya'), ('nya', 'udah'), ('udah', 'bagus'), ('bagus', 'tapi'), ('tapi',), ('tolong',), ('tolong', 'perbaikilah'), ('perbaikilah', 'muntun'), ('muntun', 'masak'), ('masak', 'main'), ('main', 'renk'), ('renk', 'tim'), ('tim', 'kayak'), ('kayak', 'computer'), ('computer', 'musuh'), ('musuh', 'serasa'), ('serasa', 'penjoki'), ('penjoki', 'beri'), ('beri', 'lawan'), ('lawan', 'dan'), ('dan', 'tim'), ('tim', 'yg'), ('yg', 'sepadan'), ('sepadan', 'lah'), ('lah', 'kalok'), ('kalok', 'gak'), ('gak', 'di'), ('di', 'perbaiki'), ('perbaiki', 'ku'), ('ku', 'pindah'), ('pindah', 'game'), ('game', 'sebelah'), ('sebelah', 'hok')]","[('game', 'nya'), ('nya', 'udah'), ('udah', 'bagus'), ('bagus', 'tapi'), ('tapi',), ('tolong',), ('tolong', 'baik'), ('baik', 'muntun'), ('muntun', 'masak'), ('masak', 'main'), ('main', 'renk'), ('renk', 'tim'), ('tim', 'kayak'), ('kayak', 'computer'), ('computer', 'musuh'), ('musuh', 'serasa'), ('serasa', 'joki'), ('joki', 'beri'), ('beri', 'lawan'), ('lawan', 'dan'), ('dan', 'tim'), ('tim', 'yg'), ('yg', 'padan'), ('padan', 'lah'), ('lah', 'kalok'), ('kalok', 'gak'), ('gak', 'di'), ('di', 'baik'), ('baik', 'ku'), ('ku', 'pindah'), ('pindah', 'game'), ('game', 'belah'), ('belah', 'hok')]","[('game', 'nya'), ('nya', 'udah'), ('udah', 'bagus'), ('bagus', 'tapi'), ('tapi',), ('tolong',), ('tolong', 'baik'), ('baik', 'muntun'), ('muntun', 'masak'), ('masak', 'main'), ('main', 'renk'), ('renk', 'tim'), ('tim', 'kayak'), ('kayak', 'computer'), ('computer', 'musuh'), ('musuh', 'serasa'), ('serasa', 'joki'), ('joki', 'beri'), ('beri', 'lawan'), ('lawan', 'dan'), ('dan', 'tim'), ('tim', 'yg'), ('yg', 'padan'), ('padan', 'lah'), ('lah', 'kalok'), ('kalok', 'gak'), ('gak', 'di'), ('di', 'baik'), ('baik', 'ku'), ('ku', 'pindah'), ('pindah', 'game'), ('game', 'belah'), ('belah', 'hok')]","[('game', 'nya'), ('nya', 'udah'), ('udah', 'bagus'), ('bagus', 'tapi'), ('tapi',), ('tolong',), ('tolong', 'baik'), ('baik', 'muntun'), ('muntun', 'masak'), ('masak', 'main'), ('main', 'renk'), ('renk', 'tim'), ('tim', 'kayak'), ('kayak', 'computer'), ('computer', 'musuh'), ('musuh', 'serasa'), ('serasa', 'joki'), ('joki', 'beri'), ('beri', 'lawan'), ('lawan', 'dan'), ('dan', 'tim'), ('tim', 'yg'), ('yg', 'padan'), ('padan', 'lah'), ('lah', 'kalok'), ('kalok', 'gak'), ('gak', 'di'), ('di', 'baik'), ('baik', 'ku'), ('ku', 'pindah'), ('pindah', 'game'), ('game', 'belah'), ('belah', 'hok')]"
Adam,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape,2.1.18.11201,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape,"[('minusnya', 'permainanan'), ('permainanan', 'nya'), ('nya', 'gk'), ('gk', 'se'), ('se', 'imbang'), ('imbang', 'gw'), ('gw', 'main'), ('main', 'solo'), ('solo', 'mvp'), ('mvp', 'mulu'), ('mulu', 'tapi'), ('tapi', 'kalah'), ('kalah', 'mulu'), ('mulu', 'kalau'), ('kalau', 'bisa'), ('bisa', 'mah'), ('mah', 'ilangin'), ('ilangin', 'tuh'), ('tuh', 'darat'), ('darat', 'sistem'), ('sistem', 'monton'), ('monton', 'gw'), ('gw', 'cape')]","[('minusnya', 'permainanan'), ('permainanan', 'nya'), ('nya', 'gk'), ('gk', 'se'), ('se', 'imbang'), ('imbang', 'gw'), ('gw', 'main'), ('main', 'solo'), ('solo', 'mvp'), ('mvp', 'mulu'), ('mulu', 'tapi'), ('tapi', 'kalah'), ('kalah', 'mulu'), ('mulu', 'kalau'), ('kalau', 'bisa'), ('bisa', 'mah'), ('mah', 'ilangin'), ('ilangin', 'tuh'), ('tuh', 'darat'), ('darat', 'sistem'), ('sistem', 'monton'), ('monton', 'gw'), ('gw', 'cape')]","[('minus', 'permainanan'), ('permainanan', 'nya'), ('nya', 'gk'), ('gk', 'se'), ('se', 'imbang'), ('imbang', 'gw'), ('gw', 'main'), ('main', 'solo'), ('solo', 'mvp'), ('mvp', 'mulu'), ('mulu', 'tapi'), ('tapi', 'kalah'), ('kalah', 'mulu'), ('mulu', 'kalau'), ('kalau', 'bisa'), ('bisa', 'mah'), ('mah', 'ilangin'), ('ilangin', 'tuh'), ('tuh', 'darat'), ('darat', 'sistem'), ('sistem', 'monton'), ('monton', 'gw'), ('gw', 'cape')]","[('minus', 'permainanan'), ('permainanan', 'nya'), ('nya', 'gk'), ('gk', 'se'), ('se', 'imbang'), ('imbang', 'gw'), ('gw', 'main'), ('main', 'solo'), ('solo', 'mvp'), ('mvp', 'mulu'), ('mulu', 'tapi'), ('tapi', 'kalah'), ('kalah', 'mulu'), ('mulu', 'kalau'), ('kalau', 'bisa'), ('bisa', 'mah'), ('mah', 'ilangin'), ('ilangin', 'tuh'), ('tuh', 'darat'), ('darat', 'sistem'), ('sistem', 'monton'), ('monton', 'gw'), ('gw', 'cape')]","[('minus', 'permainanan'), ('permainanan', 'nya'), ('nya', 'gk'), ('gk', 'se'), ('se', 'imbang'), ('imbang', 'gw'), ('gw', 'main'), ('main', 'solo'), ('solo', 'mvp'), ('mvp', 'mulu'), ('mulu', 'tapi'), ('tapi', 'kalah'), ('kalah', 'mulu'), ('mulu', 'kalau'), ('kalau', 'bisa'), ('bisa', 'mah'), ('mah', 'ilangin'), ('ilangin', 'tuh'), ('tuh', 'darat'), ('darat', 'sistem'), ('sistem', 'monton'), ('monton', 'gw'), ('gw', 'cape')]"
Ilda Dada,ml seru bet,,ml seru bet,"[('ml', 'seru'), ('seru', 'bet')]","[('ml', 'seru'), ('seru', 'bet')]","[('ml', 'seru'), ('seru', 'bet')]","[('ml', 'seru'), ('seru', 'bet')]","[('ml', 'seru'), ('seru', 'bet')]"
Riki Icikiwir,"game buruk efek skin biasa aja, hera aneh, tampilan Majapahit. Team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game",,"game buruk efek skin biasa aja, hera aneh, tampilan majapahit. team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game","[('game', 'buruk'), ('buruk', 'efek'), ('efek', 'skin'), ('skin', 'biasa'), ('biasa', 'aja'), ('aja', ','), (',', 'hera'), ('hera', 'aneh'), ('aneh', ','), (',', 'tampilan'), ('tampilan', 'majapahit'), ('majapahit', '.'), ('.', 'team'), ('team', 'tidak'), ('tidak', 'merata'), ('merata', 'win'), ('win', '1x'), ('1x', 'kalah'), ('kalah', 'berkali-kali'), ('berkali-kali', 'gw'), ('gw', 'udah'), ('udah', 'stres'), ('stres', 'main'), ('main', 'kek'), ('kek', 'ginian'), ('ginian', 'banyak'), ('banyak', 'banget'), ('banget', 'drak'), ('drak', 'sistem'), ('sistem', 'kek'), ('kek', 'yang'), ('yang', 'buat'), ('buat', 'game')]","[('game', 'buruk'), ('buruk', 'efek'), ('efek', 'skin'), ('skin', 'biasa'), ('biasa', 'aja'), ('aja',), ('hera',), ('hera', 'aneh'), ('aneh',), ('tampilan',), ('tampilan', 'majapahit'), ('majapahit',), ('team',), ('team', 'tidak'), ('tidak', 'merata'), ('merata', 'win'), ('win', 'x'), ('x', 'kalah'), ('kalah', 'berkalikali'), ('berkalikali', 'gw'), ('gw', 'udah'), ('udah', 'stres'), ('stres', 'main'), ('main', 'kek'), ('kek', 'ginian'), ('ginian', 'banyak'), ('banyak', 'banget'), ('banget', 'drak'), ('drak', 'sistem'), ('sistem', 'kek'), ('kek', 'yang'), ('yang', 'buat'), ('buat', 'game')]","[('game', 'buruk'), ('buruk', 'efek'), ('efek', 'skin'), ('skin', 'biasa'), ('biasa', 'aja'), ('aja',), ('hera',), ('hera', 'aneh'), ('aneh',), ('tampil',), ('tampil', 'majapahit'), ('majapahit',), ('team',), ('team', 'tidak'), ('tidak', 'rata'), ('rata', 'win'), ('win', 'x'), ('x', 'kalah'), ('kalah', 'berkalikali'), ('berkalikali', 'gw'), ('gw', 'udah'), ('udah', 'stres'), ('stres', 'main'), ('main', 'kek'), ('kek', 'ginian'), ('ginian', 'banyak'), ('banyak', 'banget'), ('banget', 'drak'), ('drak', 'sistem'), ('sistem', 'kek'), ('kek', 'yang'), ('yang', 'buat'), ('buat', 'game')]","[('game', 'buruk'), ('buruk', 'efek'), ('efek', 'skin'), ('skin', 'biasa'), ('biasa', 'aja'), ('aja',), ('hera',), ('hera', 'aneh'), ('aneh',), ('tampil',), ('tampil', 'majapahit'), ('majapahit',), ('team',), ('team', 'tidak'), ('tidak', 'rata'), ('rata', 'win'), ('win', 'x'), ('x', 'kalah'), ('kalah', 'berkalikali'), ('berkalikali', 'gw'), ('gw', 'udah'), ('udah', 'stres'), ('stres', 'main'), ('main', 'kek'), ('kek', 'ginian'), ('ginian', 'banyak'), ('banyak', 'banget'), ('banget', 'drak'), ('drak', 'sistem'), ('sistem', 'kek'), ('kek', 'yang'), ('yang', 'buat'), ('buat', 'game')]","[('game', 'buruk'), ('buruk', 'efek'), ('efek', 'skin'), ('skin', 'biasa'), ('biasa', 'aja'), ('aja',), ('hera',), ('hera', 'aneh'), ('aneh',), ('tampil',), ('tampil', 'majapahit'), ('majapahit',), ('team',), ('team', 'tidak'), ('tidak', 'rata'), ('rata', 'win'), ('win', 'x'), ('x', 'kalah'), ('kalah', 'berkalikali'), ('berkalikali', 'gw'), ('gw', 'udah'), ('udah', 'stres'), ('stres', 'main'), ('main', 'kek'), ('kek', 'ginian'), ('ginian', 'banyak'), ('banyak', 'banget'), ('banget', 'drak'), ('drak', 'sistem'), ('sistem', 'kek'), ('kek', 'yang'), ('yang', 'buat'), ('buat', 'game')]"
Mar yadi,kenapa banyak draksistem gua capek monton di trol game gak jelasss,2.1.18.11201,kenapa banyak draksistem gua capek monton di trol game gak jelasss,"[('kenapa', 'banyak'), ('banyak', 'draksistem'), ('draksistem', 'gua'), ('gua', 'capek'), ('capek', 'monton'), ('monton', 'di'), ('di', 'trol'), ('trol', 'game'), ('game', 'gak'), ('gak', 'jelasss')]","[('kenapa', 'banyak'), ('banyak', 'draksistem'), ('draksistem', 'gua'), ('gua', 'capek'), ('capek', 'monton'), ('monton', 'di'), ('di', 'trol'), ('trol', 'game'), ('game', 'gak'), ('gak', 'jelas')]","[('kenapa', 'banyak'), ('banyak', 'draksistem'), ('draksistem', 'gua'), ('gua', 'capek'), ('capek', 'monton'), ('monton', 'di'), ('di', 'trol'), ('trol', 'game'), ('game', 'gak'), ('gak', 'jelas')]","[('kenapa', 'banyak'), ('banyak', 'draksistem'), ('draksistem', 'gua'), ('gua', 'capek'), ('capek', 'monton'), ('monton', 'di'), ('di', 'trol'), ('trol', 'game'), ('game', 'gak'), ('gak', 'jelas')]","[('kenapa', 'banyak'), ('banyak', 'draksistem'), ('draksistem', 'gua'), ('gua', 'capek'), ('capek', 'monton'), ('monton', 'di'), ('di', 'trol'), ('trol', 'game'), ('game', 'gak'), ('gak', 'jelas')]"
samsudin nue,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu,2.1.18.11201,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu,"[('montoon', 'update'), ('update', 'patch'), ('patch', 'terbaru'), ('terbaru', 'sekarang'), ('sekarang', 'kk'), ('kk', 'sering'), ('sering', 'stuck'), ('stuck', 'di'), ('di', 'loading'), ('loading', 'match'), ('match', 'making'), ('making', 'jadi'), ('jadi', 'sering'), ('sering', 'afk'), ('afk', 'sampe'), ('sampe', '1'), ('1', 'menit'), ('menit', 'bisa'), ('bisa', 'di'), ('di', 'skottth'), ('skottth', 'kan'), ('kan', 'kah'), ('kah', 'moonton'), ('moonton', 'untuk'), ('untuk', 'itu')]","[('montoon', 'update'), ('update', 'patch'), ('patch', 'terbaru'), ('terbaru', 'sekarang'), ('sekarang', 'kk'), ('kk', 'sering'), ('sering', 'stuck'), ('stuck', 'di'), ('di', 'loading'), ('loading', 'match'), ('match', 'making'), ('making', 'jadi'), ('jadi', 'sering'), ('sering', 'afk'), ('afk', 'sampe'), ('sampe',), ('menit',), ('menit', 'bisa'), ('bisa', 'di'), ('di', 'skoth'), ('skoth', 'kan'), ('kan', 'kah'), ('kah', 'moonton'), ('moonton', 'untuk'), ('untuk', 'itu')]","[('montoon', 'update'), ('update', 'patch'), ('patch', 'baru'), ('baru', 'sekarang'), ('sekarang', 'kk'), ('kk', 'sering'), ('sering', 'stuck'), ('stuck', 'di'), ('di', 'loading'), ('loading', 'match'), ('match', 'making'), ('making', 'jadi'), ('jadi', 'sering'), ('sering', 'afk'), ('afk', 'sampe'), ('sampe',), ('menit',), ('menit', 'bisa'), ('bisa', 'di'), ('di', 'skoth'), ('skoth', 'kan'), ('kan', 'kah'), ('kah', 'moonton'), ('moonton', 'untuk'), ('untuk', 'itu')]","[('montoon', 'update'), ('update', 'patch'), ('patch', 'baru'), ('baru', 'sekarang'), ('sekarang', 'kk'), ('kk', 'sering'), ('sering', 'stuck'), ('stuck', 'di'), ('di', 'loading'), ('loading', 'match'), ('match', 'making'), ('making', 'jadi'), ('jadi', 'sering'), ('sering', 'afk'), ('afk', 'sampe'), ('sampe',), ('menit',), ('menit', 'bisa'), ('bisa', 'di'), ('di', 'skoth'), ('skoth', 'kan'), ('kan', 'kah'), ('kah', 'moonton'), ('moonton', 'untuk'), ('untuk', 'itu')]","[('montoon', 'update'), ('update', 'patch'), ('patch', 'baru'), ('baru', 'sekarang'), ('sekarang', 'kk'), ('kk', 'sering'), ('sering', 'stuck'), ('stuck', 'di'), ('di', 'loading'), ('loading', 'match'), ('match', 'making'), ('making', 'jadi'), ('jadi', 'sering'), ('sering', 'afk'), ('afk', 'sampe'), ('sampe',), ('menit',), ('menit', 'bisa'), ('bisa', 'di'), ('di', 'skoth'), ('skoth', 'kan'), ('kan', 'kah'), ('kah', 'moonton'), ('moonton', 'untuk'), ('untuk', 'itu')]"
